Disease/ Illness,Mode of Transmission,Symptoms,Incubation Period,Period of Communicability,Criteria for Exclusion from School*,Reporting Requirement,Link
"Bronchiolitis, Bronchitis, Common Cold, Croup, Ear Infection, Pneumonia, Sinus Infection and Most Sore Throats (respiratory diseases caused by many different viruses and occasionally bacteria)","Breathing in respiratory droplets containing the pathogen after an infected person exhales, sneezes, or coughs -Direct contact with respiratory secretions from an infected person -Touching a contaminated object then touching mouth, nose or eyes","Variable, including runny nose, watery eyes, fatigue, coughing, and sneezing.  May or may not have fever",Variable,"Variable, often from the day before symptoms begin up to 5 days after onset",No exclusion unless febrile or other symptoms meeting exclusion criteria are present,"May depend of etiology/organism Report unusual illness, clusters of cases above baseline for group and time of year, or increased/unusual severity of illness to the
local health department",
"Conjunctivitis, Bacterial or Viral (Pink eye)","Contact with an infected person’s skin, body fluid or though contact with a contaminated surface and then touching mucus membranes/eyes","Red eyes, usually with some discharge or crusting around eyes; may be itchy, sensitive to light, or watery
Bacterial: may have yellow/greenish discharge; may affect one or both eyes Allergic and chemical conjunctivitis usually affects both eyes",Bacterial: Unknown. Viral: Varies with etiology,"Bacterial: from onset of symptoms until after start of antibiotics, or as long as there is discharge form the eye
Viral: variable, before symptoms appear and while symptoms are present
(Allergic and chemical conjunctivitis is not
contagious.)","Bacterial, Viral, or unknown etiology:
Exclude if conjunctivitis is accompanied by symptoms of systemic illness or if the child is unable to keep hands away from eye.
Childcare rules: exclude if purulent drainage until after 24 hours of treatment
http://www.ilga.gov/commission/jcar/adminc ode/089/089004070G03100R.html","Not required to be reported
May notify local health department of large clusters of cases or cases with unusual severity of illness",['http://www.cdc.gov/conjunctivitis/index.html']
Influenza,"Person to person by respiratory droplets created by coughing or sneezing, or though contact with a contaminated surface and then touching mucus membranes/eyes The virus can live on surfaces for several hours.","Sudden onset of fever, chills, headache, malaise, body aches, and nonproductive cough",1-4 days,"Variable, from 24 hours before onset of symptoms, peaks during first 3 days of illness through 7 days","For 24 hours until both are true: fever-free without using fever- reducing medications and symptoms are improving overall. Upon return and for the next 5 days, CDC recommends enhancing hygiene practices, wearing a well-fitted mask and physical distance from others when indoors as much as possible.
Criteria may differ in pandemic or novel/variant strain influenza situation.","Influenza deaths in persons<18 years of age. ICU admissions are reportable within 24 hours.
Influenza A, variant virus cases are required to be reported immediately within 3 hours by healthcare providers.","['https://dph.illinois.gov/topics-services/diseases-and-conditions/infectious-diseases/cd-school-nurse-guidance/flu-facts-for-parents.html', 'http://www.flu.gov/http://ilga.gov/commission/jcar/admincode/077/077006900D04650R.html', 'http://ilga.gov/commission/jcar/admincode/077/077006900D04680R.html', 'http://ilga.gov/commission/jcar/admincode/077/077006900D04690R.html']"
Mumps,Contact with droplets from eyes or mouth of infected person,Fever with swelling and tenderness of one or both parotid glands located below and in front of the ears Unrecognized mild cases without swelling may occur.,"12 to 25 days
(usually 16 to
18 days","Peak infectious time begins 1 to 2 days before swelling to 5 days after but may range from 7 days before to 9 days after. For the purpose of contact tracing and exclusions, the infectious period is 2 days before to 5 days after parotitis.","Exclude cases from school, childcare or workplace until 5 days after onset of parotitis.
Note: daycare licensing rules require 9 days exclusion; refer to link below. http://www.ilga.gov/commission/j car/admincode/089/089004070G 03100R.html
Susceptible contacts should be excluded from school or the
workplace from days 12-25 after last exposure.","Report case to local health department within 24 hours.
Outbreaks: three or more probable or confirmed cases linked by time and place.","['http://www.cdc.gov/mumps/index.html', 'http://ilga.gov/commission/jcar/admincode/077/077006900D05500R.html']"
Pertussis (Whooping Cough),"Contact with droplets from nose, eyes or mouth of infected person","Initially cold-like symptoms, later cough; may have inspiratory whoop, post-tussive vomiting","5 to 21 days
(usually 7 to
10 days)","Before cough onset (with onset of runny nose), continuing until child has been on antibiotics for 5 days If untreated, infectious for 3 weeks after cough begins","School exclusion: Cases must be excluded from school until 5 days of appropriate antibiotic treatment is completed or 21 days after cough onset if no treatment is received.
Susceptible contacts do not need to be excluded unless they become symptomatic.","Report as soon as possible, within 24 hours
Outbreaks:  Five or more cases epidemiologically linked","['https://dph.illinois.gov/topics-services/diseases-and-conditions/infectious-diseases/cd-school-nurse-guidance/pertussis-facts-for-parents.html', 'http://www.cdc.gov/pertussis/http://www.ilga.gov/commission/jcar/admincode/077/077006900D07500R.html']"
RSV,"Highly contagious; contact with droplets from nose, eyes or mouth of infected person; virus can live on surfaces (toys, tissues, doorknobs) for several hours","Fever, runny nose, cough.  May have wheezing",2 to 8 days (4 to 6 days most common),"Variable, from the day before until 3 to 8 days or longer; may last up to 3 to 4 weeks","For 24 hours until both are true: fever-free without using fever- reducing medications and symptoms are improving overall. Upon return and for the next 5 days, CDC recommends enhancing hygiene practices, wearing a well-fitted mask and physical distance from others when indoors as much as possible.",RSV deaths in persons<18 years of age and ICU admissions are reportable within 24 hours.,"['https://dph.illinois.gov/topics-services/diseases-and-conditions/infectious-diseases/cd-school-nurse-guidance/rsv-facts-for-parents.html', 'https://www.cdc.gov/rsv/https://www.cdc.gov/respiratory-viruses/index.html']"
SARS-CoV-2 (COVID-19),"Breathing in air when close to an infected person who is exhaling small droplets and particles that contain the virus.
Having these small droplets and particles that contain virus land on the eyes, nose, or mouth, especially through splashes and sprays like a cough or sneeze.
Touching eyes, nose, or mouth with hands that have the virus on them.","May have no symptoms or can have any of the following: Fever or chills, Cough,
Shortness of breath or difficulty breathing, Fatigue, Muscle or body aches, Headache,
New loss of taste or smell, Sore throat Congestion or runny nose, Nausea or vomiting, Diarrhea, dermatologic manifestations.",2-14 days,From 2 days before symptom onset through Day 10 after symptom onset,"For 24 hours until both are true: fever-free without using fever- reducing medications and symptoms are improving overall. Upon return and for the next 5 days, CDC recommends enhancing hygiene practices, wearing a well-fitted mask and physical distance from others when indoors as much as possible.","COVID-19 deaths in persons<18 years of age and ICU admissions are reportable within 24 hours.
Outbreaks with hospitalization or deaths related to COVID-19 involving 3 or more in a core group of individuals within a 10-day period or if the school is no longer able to safely operate and provide essential services.",['https://www.cdc.gov/respiratory-viruses/index.html']
Strep throat/Scarlet Fever,"Contact with droplets from nose and mouth; close crowded contact, direct contact","Fever, sore throat with pus spots on tonsils, tender swollen glands Scarlet fever has above symptoms plus a sandpaper-like rash Symptoms may vary.",2 to 5 days,Highest during acute infection; no longer contagious within 24 hours after antibiotics,"Schools: Exclude until fever free without the use of fever-reducing medications or symptoms improving if fever not present AND on appropriate antibiotics for AT LEAST 12 hours.
However, during outbreaks or in the setting of recurrent infection, IDPH recommends individuals stay home for at least 24 hours after on effective antibiotics AND fever free or symptoms improving if fever not present. Child Care: rules: Exclude until 24 hours after treatment has been initiated and until the child has been without fever for 24 hours;
http://www.ilga.gov/commission/jcar/adminc
ode/089/089004070G03100R.html","Clusters of 10 epidemiologically linked cases of strep throat/scarlet fever within a 10-day period are reportable to the local health department.
Invasive disease from streptococcal bacteria is reportable.","['https://dph.illinois.gov/topics-services/diseases-and-conditions/infectious-diseases/cd-school-nurse-guidance/strep-throat-facts-for-parents.html', 'http://www.cdc.gov/groupastrep/http://www.ilga.gov/commission/jcar/admincode/077/077006900D06700R.html']"
TB (tuberculosis),Airborne inhalation of droplets from nose and mouth of diseased person (children usually contract TB from close contact with a diseased adult),"Fever, fatigue, weight loss, cough (lasting 3+ weeks), night sweats, loss of appetite","2 to 10 weeks to years; risk of developing disease is highest 6
months to 2 years after infection",Individuals with infection but without active disease (latent TB) are not infectious. Individuals with active disease are infectious until treatment.,"For active disease: after therapy started, adherence documented, symptoms diminished, and determined to be non-infectious; consult with public health officials; no exclusion for latent infection",Report suspect or confirmed TB cases to local health department within 7 days,['http://www.cdc.gov/TB/http://www.ilga.gov/commission/jcar/admincode/077/07700696sections.html']
Campylobacteriosis,"Ingestion of undercooked meat, contaminated food or water, or raw milk","Diarrhea (may be bloody), abdominal pain, malaise, fever","1-10 days,
usually 2-5 days","Throughout illness (usually 1-2 weeks, but up to 7 weeks without treatment)",Exclude until diarrhea has ceased for at least 24 hours; additional restrictions may apply.,Cases of campylobacteriosis are reportable to the local health department within 7 days.,"['http://www.cdc.gov/foodsafety/diseases/campylobacter/index.html', 'http://www.ilga.gov/commission/jcar/admincode/077/077006900D03350R.html']"
