Disease,Primary organ/body part affected,Autoantibodies,Acceptance as an autoimmune disease,Prevalence rate (US)
Alopecia areata,Hair follicles,None specific,Confirmed,2.1%
Autoimmune angioedema,Skin,C1 inhibitor,Probable,"Less than 5,000"
Autoimmune progesterone dermatitis,Skin,Progesterone,Probable,Extremely rare
Autoimmune urticaria,Skin,IgG against IgE or IgE receptor,Probable,Not well established
Bullous pemphigoid,Skin,"Anti-BP180, Anti-BP230",Confirmed,"6-30 per 100,000 (mostly older adults)"
Cicatricial pemphigoid,"Mucous membranes, sometimes skin","Anti-BP180, Anti-BP230",Confirmed,Rare
Dermatitis herpetiformis,Skin,Anti-tissue transglutaminase,Confirmed,"10 per 100,000"
Dermatomyositis,Skin and muscles,"Anti-Jo1, Anti-Mi2, Anti-SRP, Anti-TIF1",Confirmed,"9 in 1,000,000"
Discoid lupus erythematosus,Skin,"ANA, Anti-dsDNA, Anti-Sm",Confirmed,"Part of SLE prevalence (20-150 per 100,000)"
Epidermolysis bullosa acquisita,Skin,Anti-type VII collagen,Confirmed,Extremely rare
Erythema nodosum,Skin,None specific,Possible,Not well established
Gestational pemphigoid,Skin,"Anti-BP180, Anti-BP230",Confirmed,Rare
Hidradenitis suppurativa,Skin,None specific,Uncertain,1-4%
Lichen planus,"Skin, mucous membranes",None specific,Probable,1%
Lichen sclerosus,Skin,None specific,Probable,Rare
Linear IgA disease,Skin,Anti-epidermal basement membrane IgA,Confirmed,Extremely rare
Morphea,Skin,None specific,Probable,Not well established
Psoriasis,Skin,"Various, not specific",Confirmed,2-3%
Pemphigus vulgaris,Skin and mucous membranes,"Anti-desmoglein 3, Anti-desmoglein 1",Confirmed,"1-5 per 100,000"
Scleroderma (systemic sclerosis),"Skin, organs","ANA, anti-Scl-70, anti-centromere",Confirmed,"240 per 1,000,000"
Vitiligo,Skin,"Various, not specific",Confirmed,1%
Autoimmune enteropathy,Small intestine,Anti-enterocyte antibodies,Probable,Rare
Autoimmune hepatitis,Liver,"ANA, ASMA, anti-LKM1",Confirmed,"1 in 10,000 to 1 in 50,000"
